Commercial AO designator,CFN,CFN suffix,ATC AO designator,ATC flight id,Start of period of operation,End of period of operation,Days of operation,ICAO ADEP,EOBT,ICAO ADES,ETA,ICAO aircraft type,No-change indicator,Change-actions indicator,Call-sign format,Next CFN
AF,003,,AFR,003,27MAR11,27MAR11,7,KJFK,0005,LFPG,0730,A388,N,,,
AF,006,,AFR,006,27MAR11,21APR11,14567,LFPG,1135,KJFK,1950,A388,N,,,
AF,006,,AFR,006,29MAR11,27APR11,23,LFPG,1135,KJFK,1950,B77W,N,,,
AF,006,,AFR,006,22APR11,05SEP11,1567,LFPG,1135,KJFK,1950,A388,N,,,
AF,006,,AFR,006,28APR11,01SEP11,234,LFPG,1135,KJFK,1950,B77W,N,,,
AF,006,,AFR,006,06SEP11,29OCT11,1234567,LFPG,1135,KJFK,1950,A388,N,,,
AF,007,,AFR,007,27MAR11,21APR11,14567,KJFK,2315,LFPG,0635,A388,N,,,
AF,007,,AFR,007,29MAR11,27APR11,23,KJFK,2315,LFPG,0635,B77W,N,,,
AF,007,,AFR,007,22APR11,05SEP11,1567,KJFK,2315,LFPG,0635,A388,N,,,
AF,007,,AFR,007,28APR11,01SEP11,234,KJFK,2315,LFPG,0635,B77W,N,,,
AF,007,,AFR,007,06SEP11,28OCT11,1234567,KJFK,2315,LFPG,0635,A388,N,,,
AF,007,,AFR,007,29OCT11,29OCT11,6,KJFK,2315,LFPG,0635,A388,N,,,
AF,008,,AFR,008,27MAR11,08MAY11,1234567,LFPG,1710,KJFK,0120,B772,N,,,
AF,008,,AFR,008,09MAY11,21JUN11,1234567,LFPG,1710,KJFK,0120,A343,N,,,
AF,008,,AFR,008,22JUN11,31JUL11,37,LFPG,1710,KJFK,0120,B332,N,,,
AF,008,,AFR,008,23JUN11,30JUL11,12456,LFPG,1710,KJFK,0120,A343,N,,,
AF,008,,AFR,008,01AUG11,04SEP11,1234567,LFPG,1710,KJFK,0120,B332,N,,,
AF,008,,AFR,008,05SEP11,29OCT11,146,LFPG,1710,KJFK,0120,B772,N,,,
AF,008,,AFR,008,06SEP11,28OCT11,2357,LFPG,1710,KJFK,0120,B772,N,,,
AF,009,,AFR,009,28MAR11,09MAY11,1234567,KJFK,0320,LFPG,1030,B772,N,,,
AF,009,,AFR,009,10MAY11,22JUN11,1234567,KJFK,0320,LFPG,1030,A343,N,,,
AF,009,,AFR,009,23JUN11,01AUG11,14,KJFK,0320,LFPG,1030,B332,N,,,
AF,009,,AFR,009,24JUN11,31JUL11,23567,KJFK,0320,LFPG,1030,A343,N,,,
AF,009,,AFR,009,02AUG11,05SEP11,1234567,KJFK,0320,LFPG,1030,B332,N,,,
AF,009,,AFR,009,06SEP11,28OCT11,257,KJFK,0320,LFPG,1030,B772,N,,,
AF,009,,AFR,009,07SEP11,29OCT11,1346,KJFK,0320,LFPG,1030,B772,N,,,
AF,010,,AFR,010,27MAR11,08MAY11,1234567,LFPG,1435,KJFK,2240,B772,N,,,
AF,010,,AFR,010,09MAY11,05JUN11,1234567,LFPG,1435,KJFK,2240,B744,N,,,
AF,010,,AFR,010,06JUN11,20JUN11,13467,LFPG,1435,KJFK,2240,B772,N,,,
AF,010,,AFR,010,07JUN11,21JUN11,25,LFPG,1435,KJFK,2240,B772,N,,,
AF,010,,AFR,010,22JUN11,01JUL11,235,LFPG,1435,KJFK,2240,B772,N,,,
AF,010,,AFR,010,23JUN11,03JUL11,1467,LFPG,1435,KJFK,2240,B772,N,,,
AF,010,,AFR,010,04JUL11,29OCT11,1234567,LFPG,1435,KJFK,2240,B772,N,,,
AF,011,,AFR,011,27MAR11,27MAR11,7,KJFK,0245,LFPG,1000,B772,N,,,
AF,011,,AFR,011,28MAR11,09MAY11,1234567,KJFK,0150,LFPG,0905,B772,N,,,
AF,011,,AFR,011,10MAY11,06JUN11,1234567,KJFK,0150,LFPG,0905,B744,N,,,
AF,011,,AFR,011,07JUN11,21JUN11,12457,KJFK,0150,LFPG,0905,B772,N,,,
AF,011,,AFR,011,08JUN11,22JUN11,36,KJFK,0150,LFPG,0905,B772,N,,,
AF,011,,AFR,011,23JUN11,02JUL11,346,KJFK,0150,LFPG,0905,B772,N,,,
AF,011,,AFR,011,24JUN11,04JUL11,1257,KJFK,0150,LFPG,0905,B772,N,,,
AF,011,,AFR,011,05JUL11,29OCT11,1234567,KJFK,0150,LFPG,0905,B772,N,,,
AF,012,,AFR,012,27MAR11,05JUN11,1467,LFPG,0830,KJFK,1630,B77W,N,,,
AF,012,,AFR,012,29MAR11,03JUN11,235,LFPG,0830,KJFK,1630,B772,N,,,
AF,012,,AFR,012,06JUN11,08SEP11,1234,LFPG,0830,KJFK,1630,B772,N,,,
AF,012,,AFR,012,10JUN11,09SEP11,567,LFPG,0830,KJFK,1630,B77W,N,,,
AF,012,,AFR,012,10SEP11,29OCT11,123467,LFPG,0830,KJFK,1630,B772,N,,,
AF,012,,AFR,012,16SEP11,28OCT11,5,LFPG,0830,KJFK,1630,B77W,N,,,
AF,015,,AFR,015,27MAR11,27MAR11,7,KEWR,0010,LFPG,0730,B332,N,,,
AF,017,,AFR,017,27MAR11,05JUN11,1467,KJFK,2215,LFPG,0530,B77W,N,,,
AF,017,,AFR,017,29MAR11,03JUN11,235,KJFK,2215,LFPG,0530,B772,N,,,
AF,017,,AFR,017,06JUN11,08SEP11,1234,KJFK,2215,LFPG,0530,B772,N,,,
AF,017,,AFR,017,10JUN11,09SEP11,567,KJFK,2215,LFPG,0530,B77W,N,,,
AF,017,,AFR,017,10SEP11,27OCT11,123467,KJFK,2215,LFPG,0530,B772,N,,,
AF,017,,AFR,017,16SEP11,28OCT11,5,KJFK,2215,LFPG,0530,B77W,N,,,
AF,017,,AFR,017,29OCT11,29OCT11,6,KJFK,2215,LFPG,0530,B772,N,,,
AF,018,,AFR,018,27MAR11,29OCT11,1234567,LFPG,1130,KEWR,1945,B332,N,,,
AF,019,,AFR,019,27MAR11,28OCT11,1234567,KEWR,2305,LFPG,0630,B332,N,,,
AF,019,,AFR,019,29OCT11,29OCT11,6,KEWR,2305,LFPG,0630,B332,N,,,
AF,021,,AFR,021,27MAR11,27MAR11,7,KJFK,0430,LFPG,1130,B772,N,,,
AF,022,,AFR,022,27MAR11,08MAY11,1234567,LFPG,0625,KJFK,1430,B332,N,,,
AF,022,,AFR,022,09MAY11,29OCT11,1234567,LFPG,0625,KJFK,1430,B772,N,,,
AF,023,,AFR,023,27MAR11,08MAY11,1234567,KJFK,2040,LFPG,0400,B332,N,,,
AF,023,,AFR,023,09MAY11,28OCT11,1234567,KJFK,2040,LFPG,0400,B772,N,,,
AF,023,,AFR,023,29OCT11,29OCT11,6,KJFK,2140,LFPG,0500,B772,N,,,
AF,026,,AFR,026,27MAR11,04SEP11,1234567,LFPG,1440,KIAD,2310,B772,N,,,
AF,026,,AFR,026,05SEP11,29OCT11,1234567,LFPG,1440,KIAD,2310,B332,N,,,
AF,027,,AFR,027,27MAR11,27MAR11,7,KIAD,0255,LFPG,1015,B772,N,,,
AF,027,,AFR,027,28MAR11,05SEP11,1234567,KIAD,0155,LFPG,0930,B772,N,,,
AF,027,,AFR,027,06SEP11,29OCT11,1234567,KIAD,0155,LFPG,0930,B332,N,,,
AF,028,,AFR,028,27MAR11,05JUN11,1234567,LFPG,0840,KIAD,1700,B772,N,,,
AF,028,,AFR,028,06JUN11,05SEP11,1234567,LFPG,0840,KIAD,1700,A388,N,,,
AF,028,,AFR,028,06SEP11,27OCT11,234,LFPG,0840,KIAD,1700,B77W,N,,,
AF,028,,AFR,028,09SEP11,29OCT11,1567,LFPG,0840,KIAD,1700,A388,N,,,
AF,039,,AFR,039,27MAR11,05JUN11,1234567,KIAD,2040,LFPG,0400,B772,N,,,
AF,039,,AFR,039,06JUN11,05SEP11,1234567,KIAD,2040,LFPG,0400,A388,N,,,
AF,039,,AFR,039,06SEP11,27OCT11,234,KIAD,2040,LFPG,0400,B77W,N,,,
AF,039,,AFR,039,09SEP11,28OCT11,1567,KIAD,2040,LFPG,0400,A388,N,,,
AF,039,,AFR,039,29OCT11,29OCT11,6,KIAD,2140,LFPG,0500,A388,N,,,
AF,064,,AFR,064,29MAR11,25OCT11,2,LFPG,1435,KLAX,0205,B77W,N,,,
AF,064,,AFR,064,30MAR11,26OCT11,3,LFPG,1435,KLAX,0205,B772,N,,,
AF,064,,AFR,064,06JUN11,24OCT11,1,LFPG,1435,KLAX,0205,B772,N,,,
AF,065,,AFR,065,27MAR11,28OCT11,134567,KLAX,2230,LFPG,0900,B77W,N,,,
AF,065,,AFR,065,29MAR11,25OCT11,2,KLAX,2230,LFPG,0900,B77W,N,,,
AF,065,,AFR,065,29OCT11,29OCT11,6,KLAX,2230,LFPG,0900,B77W,N,,,
AF,066,,AFR,066,27MAR11,29OCT11,1234567,LFPG,0840,KLAX,2010,B77W,N,,,
AF,067,,AFR,067,30MAR11,26OCT11,3,KLAX,0415,LFPG,1445,B77W,N,,,
AF,067,,AFR,067,31MAR11,02JUN11,4,KLAX,0415,LFPG,1445,B772,N,,,
AF,067,,AFR,067,07JUN11,27OCT11,24,KLAX,0415,LFPG,1445,B772,N,,,
AF,069,,AFR,069,27MAR11,27MAR11,7,KLAX,0230,LFPG,1305,B77W,N,,,
AF,069,,AFR,069,28MAR11,06SEP11,1234567,KLAX,0145,LFPG,1215,B772,N,,,
AF,069,,AFR,069,08SEP11,29OCT11,124567,KLAX,0145,LFPG,1215,B772,N,,,
AF,072,,AFR,072,27MAR11,05SEP11,1234567,LFPG,1130,KLAX,2300,B772,N,,,
AF,072,,AFR,072,07SEP11,29OCT11,134567,LFPG,1130,KLAX,2300,B772,N,,,
AF,073,,AFR,073,27MAR11,27MAR11,7,KLAX,0540,LFPG,1615,B77W,N,,,
AF,073,,AFR,073,28MAR11,28MAR11,1,KLAX,0540,LFPG,1615,B772,N,,,
AF,073,,AFR,073,02APR11,06JUN11,16,KLAX,0415,LFPG,1445,B772,N,,,
AF,073,,AFR,073,03APR11,05JUN11,7,KLAX,0415,LFPG,1445,B77W,N,,,
AF,073,,AFR,073,11JUN11,29OCT11,67,KLAX,0415,LFPG,1445,B77W,N,,,
AF,073,,AFR,073,13JUN11,24OCT11,1,KLAX,0415,LFPG,1445,B772,N,,,
AF,074,,AFR,074,31MAR11,09JUN11,45,LFPG,1435,KLAX,0205,B772,N,,,
AF,074,,AFR,074,02APR11,04JUN11,6,LFPG,1435,KLAX,0205,B77W,N,,,
AF,074,,AFR,074,10JUN11,29OCT11,56,LFPG,1435,KLAX,0205,B77W,N,,,
AF,074,,AFR,074,16JUN11,27OCT11,4,LFPG,1435,KLAX,0205,B772,N,,,
AF,080,,AFR,080,07JUN11,27OCT11,247,LFPG,1140,KSFO,2245,B744,N,,,
AF,083,,AFR,083,27MAR11,04SEP11,1234567,KSFO,2235,LFPG,0900,B744,N,,,
AF,083,,AFR,083,05SEP11,28OCT11,1234567,KSFO,2235,LFPG,0900,B77W,N,,,
AF,083,,AFR,083,29OCT11,29OCT11,6,KSFO,2235,LFPG,0900,B77W,N,,,
AF,084,,AFR,084,27MAR11,04SEP11,1234567,LFPG,0840,KSFO,1950,B744,N,,,
AF,084,,AFR,084,05SEP11,29OCT11,1234567,LFPG,0840,KSFO,1950,B77W,N,,,
AF,085,,AFR,085,08JUN11,28OCT11,135,KSFO,0135,LFPG,1155,B744,N,,,
AF,102,,AFR,102,27MAR11,28OCT11,257,LFPG,2130,ZGGG,0855,B772,N,,,
AF,107,,AFR,107,28MAR11,26OCT11,136,ZGGG,1535,LFPG,0405,B772,N,,,
AF,107,,AFR,107,29OCT11,29OCT11,6,ZGGG,1535,LFPG,0405,B772,N,,,
AF,111,,AFR,111,27MAR11,27MAR11,7,ZSPD,1540,LFPG,0340,B772,N,,,
AF,111,,AFR,111,28MAR11,28OCT11,1234567,ZSPD,1540,LFPG,0340,B77W,N,,,
AF,111,,AFR,111,29OCT11,29OCT11,6,ZSPD,1540,LFPG,0340,B77W,N,,,
AF,112,,AFR,112,27MAR11,06JUN11,14567,LFPG,1145,ZSPD,2240,B77W,N,,,
AF,112,,AFR,112,07JUN11,29OCT11,1234567,LFPG,1145,ZSPD,2240,B77W,N,,,
AF,116,,AFR,116,27MAR11,29OCT11,1234567,LFPG,2125,ZSPD,0815,B77W,N,,,
AF,117,,AFR,117,27MAR11,07JUN11,12567,ZSPD,0245,LFPG,1455,B77W,N,,,
AF,117,,AFR,117,08JUN11,29OCT11,1234567,ZSPD,0245,LFPG,1455,B77W,N,,,
AF,125,,AFR,125,27MAR11,27MAR11,7,ZBAA,0540,LFPG,1640,B77W,N,,,
AF,125,,AFR,125,28MAR11,29OCT11,1234567,ZBAA,0450,LFPG,1530,B77W,N,,,
AF,126,,AFR,126,27MAR11,29OCT11,1234567,LFPG,1700,ZBAA,0250,B77W,N,,,
AF,128,,AFR,128,27MAR11,08JUN11,12357,LFPG,1145,ZBAA,2135,B77W,N,,,
AF,128,,AFR,128,09JUN11,29OCT11,1234567,LFPG,1145,ZBAA,2135,B77W,N,,,
AF,129,,AFR,129,28MAR11,09JUN11,12346,ZBAA,0130,LFPG,1210,B77W,N,,,
AF,129,,AFR,129,10JUN11,29OCT11,1234567,ZBAA,0130,LFPG,1210,B77W,N,,,
AF,144,,AFR,144,29MAR11,04JUN11,246,LFPG,2120,VVTS,0900,B77W,N,,,
AF,144,,AFR,144,07JUN11,03SEP11,246,LFPG,2120,VVTS,0900,B77W,N,,,
AF,144,,AFR,144,06SEP11,29OCT11,246,LFPG,2120,VVTS,0900,B77W,N,,,
AF,153,,AFR,153,27MAR11,27MAR11,7,VVTS,1520,LFPG,0340,B77W,N,,,
AF,153,,AFR,153,30MAR11,05JUN11,357,VVTS,1520,LFPG,0340,B77W,N,,,
AF,153,,AFR,153,08JUN11,04SEP11,357,VVTS,1520,LFPG,0340,B77W,N,,,
AF,153,,AFR,153,07SEP11,28OCT11,357,VVTS,1520,LFPG,0340,B77W,N,,,
AF,183,,AFR,183,27MAR11,27MAR11,7,VHHH,0225,LFPG,1515,B772,N,,,
AF,183,,AFR,183,28MAR11,06JUN11,12467,VHHH,0225,LFPG,1515,B772,N,,,
AF,183,,AFR,183,07JUN11,05JUL11,12457,VHHH,0225,LFPG,1515,B772,N,,,
AF,183,,AFR,183,08JUN11,02JUL11,36,VHHH,0225,LFPG,1515,B772,N,,,
AF,183,,AFR,183,06JUL11,29OCT11,1234567,VHHH,0225,LFPG,1515,B772,N,,,
AF,184,,AFR,184,27MAR11,05JUN11,13567,LFPG,1145,VHHH,2320,B772,N,,,
AF,184,,AFR,184,06JUN11,04JUL11,13467,LFPG,1145,VHHH,2320,B772,N,,,
AF,184,,AFR,184,07JUN11,01JUL11,25,LFPG,1145,VHHH,2320,B772,N,,,
AF,184,,AFR,184,05JUL11,29OCT11,1234567,LFPG,1145,VHHH,2320,B772,N,,,
AF,185,,AFR,185,27MAR11,27MAR11,7,VHHH,1505,LFPG,0345,B77W,N,,,
AF,185,,AFR,185,28MAR11,28OCT11,1234567,VHHH,1505,LFPG,0345,B77W,N,,,
AF,185,,AFR,185,29OCT11,29OCT11,6,VHHH,1535,LFPG,0450,B77W,N,,,
AF,188,,AFR,188,27MAR11,29OCT11,1234567,LFPG,2125,VHHH,0900,B77W,N,,,
AF,191,,AFR,191,27MAR11,28OCT11,1234567,VOBG,2020,LFPG,0635,B332,N,,,
AF,191,,AFR,191,29OCT11,29OCT11,6,VOBG,2020,LFPG,0635,B332,N,,,
AF,192,,AFR,192,27MAR11,29OCT11,1234567,LFPG,0840,VOBG,1815,B332,N,,,
AF,217,,AFR,217,27MAR11,28OCT11,1234567,VABB,2045,LFPG,0605,A343,N,,,
AF,217,,AFR,217,29OCT11,29OCT11,6,VABB,2045,LFPG,0605,A343,N,,,
AF,218,,AFR,218,27MAR11,29OCT11,1234567,LFPG,0855,VABB,1815,A343,N,,,
AF,225,,AFR,225,27MAR11,05JUN11,1234567,VIDP,1905,LFPG,0405,A343,N,,,
AF,225,,AFR,225,06JUN11,04SEP11,12357,VIDP,1905,LFPG,0405,B332,N,,,
AF,225,,AFR,225,09JUN11,03SEP11,46,VIDP,1905,LFPG,0405,A343,N,,,
AF,225,,AFR,225,05SEP11,28OCT11,1234567,VIDP,1905,LFPG,0405,A343,N,,,
AF,225,,AFR,225,29OCT11,29OCT11,6,VIDP,2015,LFPG,0515,A343,N,,,
AF,226,,AFR,226,27MAR11,05JUN11,1234567,LFPG,0840,VIDP,1705,A343,N,,,
AF,226,,AFR,226,06JUN11,04SEP11,12357,LFPG,0840,VIDP,1705,B332,N,,,
AF,226,,AFR,226,09JUN11,03SEP11,46,LFPG,0840,VIDP,1705,A343,N,,,
AF,226,,AFR,226,05SEP11,29OCT11,1234567,LFPG,0840,VIDP,1705,A343,N,,,
AF,241,,AFR,241,27MAR11,27MAR11,7,VTBD,1555,LFPG,0405,A343,N,,,
AF,241,,AFR,241,28MAR11,09MAY11,1357,VTBD,1555,LFPG,0405,A343,N,,,
AF,241,,AFR,241,11MAY11,28OCT11,1357,VTBD,1555,LFPG,0405,B772,N,,,
AF,242,,AFR,242,27MAR11,08MAY11,2467,LFPG,1730,VTBD,0450,A343,N,,,
AF,242,,AFR,242,10MAY11,29OCT11,2467,LFPG,1730,VTBD,0450,B772,N,,,
AF,256,,AFR,256,27MAR11,29OCT11,1234567,LFPG,2125,WSSS,1000,B77W,N,,,
AF,257,,AFR,257,27MAR11,28OCT11,1234567,WSSS,1505,LFPG,0410,B77W,N,,,
AF,257,,AFR,257,29OCT11,29OCT11,6,WSSS,1530,LFPG,0510,B77W,N,,,
AF,264,,AFR,264,27MAR11,05JUN11,567,LFPG,1130,RKSI,2210,B77W,N,,,
AF,264,,AFR,264,28MAR11,02JUN11,1234,LFPG,1130,RKSI,2210,B772,N,,,
AF,264,,AFR,264,06JUN11,29OCT11,1234567,LFPG,1130,RKSI,2210,B77W,N,,,
AF,267,,AFR,267,27MAR11,27MAR11,7,RKSI,0115,LFPG,1325,B77W,N,,,
AF,267,,AFR,267,28MAR11,06JUN11,167,RKSI,0020,LFPG,1215,B77W,N,,,
AF,267,,AFR,267,29MAR11,03JUN11,2345,RKSI,0020,LFPG,1215,B772,N,,,
AF,267,,AFR,267,07JUN11,29OCT11,1234567,RKSI,0020,LFPG,1215,B77W,N,,,
AF,273,,AFR,273,29MAR11,07MAY11,246,VDPP,1305,VTBD,1420,A343,N,,,
AF,273,,AFR,273,29MAR11,07MAY11,246,VTBD,1555,LFPG,0405,A343,N,,,
AF,273,,AFR,273,10MAY11,27OCT11,246,VDPP,1305,VTBD,1420,B772,N,,,
AF,273,,AFR,273,10MAY11,27OCT11,246,VTBD,1555,LFPG,0405,B772,N,,,
AF,273,,AFR,273,29OCT11,29OCT11,6,VDPP,1340,VTBD,1455,B772,N,,,
AF,273,,AFR,273,29OCT11,29OCT11,6,VTBD,1620,LFPG,0510,B772,N,,,
AF,274,,AFR,274,28MAR11,06MAY11,135,LFPG,1730,VTBD,0450,A343,N,,,
AF,274,,AFR,274,29MAR11,07MAY11,246,VTBD,0615,VDPP,0730,A343,N,,,
AF,274,,AFR,274,09MAY11,28OCT11,135,LFPG,1730,VTBD,0450,B772,N,,,
AF,274,,AFR,274,10MAY11,29OCT11,246,VTBD,0615,VDPP,0730,B772,N,,,
AF,275,,AFR,275,27MAR11,29OCT11,1234567,RJAA,0255,LFPG,1515,A388,N,,,
AF,276,,AFR,276,27MAR11,29OCT11,1234567,LFPG,1130,RJAA,2300,A388,N,,,
AF,277,,AFR,277,27MAR11,28OCT11,1234567,RJAA,1255,LFPG,0215,B77W,N,,,
AF,277,,AFR,277,29OCT11,29OCT11,6,RJAA,1255,LFPG,0215,B77W,N,,,
AF,278,,AFR,278,27MAR11,29OCT11,1234567,LFPG,2135,RJAA,0900,B77W,N,,,
AF,291,,AFR,291,27MAR11,27MAR11,7,RJBB,0230,LFPG,1505,B77W,N,,,
AF,291,,AFR,291,28MAR11,09MAY11,1234567,RJBB,0230,LFPG,1505,B772,N,,,
AF,291,,AFR,291,10MAY11,29OCT11,1234567,RJBB,0230,LFPG,1505,B772,N,,,
AF,292,,AFR,292,27MAR11,08MAY11,1234567,LFPG,1150,RJBB,2325,B772,N,,,
AF,292,,AFR,292,09MAY11,29OCT11,1234567,LFPG,1150,RJBB,2325,B772,N,,,
AF,306,,AFR,306,28MAR11,31MAR11,134,LFPG,0830,KSEA,1850,B332,N,,,
AF,306,,AFR,306,29MAR11,05APR11,26,LFPG,0830,KSEA,1850,A343,N,,,
AF,306,,AFR,306,06APR11,08MAY11,37,LFPG,0830,KSEA,1850,B332,N,,,
AF,306,,AFR,306,07APR11,04JUN11,246,LFPG,0830,KSEA,1850,A343,N,,,
AF,306,,AFR,306,09MAY11,05JUN11,137,LFPG,0830,KSEA,1850,B332,N,,,
AF,306,,AFR,306,06JUN11,21JUN11,12456,LFPG,0830,KSEA,1850,A343,N,,,
AF,306,,AFR,306,08JUN11,19JUN11,37,LFPG,0830,KSEA,1850,B332,N,,,
AF,306,,AFR,306,22JUN11,06SEP11,1234567,LFPG,0830,KSEA,1850,A343,N,,,
AF,306,,AFR,306,07SEP11,30SEP11,35,LFPG,0830,KSEA,1850,B332,N,,,
AF,306,,AFR,306,08SEP11,02OCT11,12467,LFPG,0830,KSEA,1850,A343,N,,,
AF,306,,AFR,306,03OCT11,28OCT11,1357,LFPG,0830,KSEA,1850,B332,N,,,
AF,306,,AFR,306,04OCT11,29OCT11,246,LFPG,0830,KSEA,1850,A343,N,,,
AF,309,,AFR,309,28MAR11,31MAR11,134,KSEA,2050,LFPG,0635,B332,N,,,
AF,309,,AFR,309,29MAR11,05APR11,26,KSEA,2050,LFPG,0635,A343,N,,,
AF,309,,AFR,309,06APR11,08MAY11,37,KSEA,2050,LFPG,0635,B332,N,,,
AF,309,,AFR,309,07APR11,04JUN11,246,KSEA,2050,LFPG,0635,A343,N,,,
AF,309,,AFR,309,09MAY11,05JUN11,137,KSEA,2050,LFPG,0635,B332,N,,,
AF,309,,AFR,309,06JUN11,21JUN11,12456,KSEA,2050,LFPG,0635,A343,N,,,
AF,309,,AFR,309,08JUN11,19JUN11,37,KSEA,2050,LFPG,0635,B332,N,,,
AF,309,,AFR,309,22JUN11,06SEP11,1234567,KSEA,2050,LFPG,0635,A343,N,,,
AF,309,,AFR,309,07SEP11,30SEP11,35,KSEA,2050,LFPG,0635,B332,N,,,
AF,309,,AFR,309,08SEP11,02OCT11,12467,KSEA,2050,LFPG,0635,A343,N,,,
AF,309,,AFR,309,03OCT11,28OCT11,1357,KSEA,2050,LFPG,0635,B332,N,,,
AF,309,,AFR,309,04OCT11,27OCT11,246,KSEA,2050,LFPG,0635,A343,N,,,
AF,309,,AFR,309,29OCT11,29OCT11,6,KSEA,2050,LFPG,0635,A343,N,,,
AF,321,,AFR,321,10MAY11,06JUN11,1247,KBOS,0255,LFPG,0935,B332,N,,,
AF,321,,AFR,321,11MAY11,04JUN11,356,KBOS,0255,LFPG,0935,A343,N,,,
AF,321,,AFR,321,07JUN11,03OCT11,1234567,KBOS,0255,LFPG,0935,B744,N,,,
AF,322,,AFR,322,09MAY11,05JUN11,1367,LFPG,1710,KBOS,0050,B332,N,,,
AF,322,,AFR,322,10MAY11,03JUN11,245,LFPG,1710,KBOS,0050,A343,N,,,
AF,322,,AFR,322,06JUN11,02OCT11,1234567,LFPG,1710,KBOS,0035,B744,N,,,
AF,332,,AFR,332,27MAR11,08APR11,57,LFPG,1135,KBOS,1920,A343,N,,,
AF,332,,AFR,332,28MAR11,09APR11,12346,LFPG,1135,KBOS,1900,B744,N,,,
AF,332,,AFR,332,10APR11,12MAY11,123467,LFPG,1135,KBOS,1900,B744,N,,,
AF,332,,AFR,332,15APR11,06MAY11,5,LFPG,1135,KBOS,1920,A343,N,,,
AF,332,,AFR,332,13MAY11,05JUN11,1234567,LFPG,1135,KBOS,1900,B744,N,,,
AF,332,,AFR,332,06JUN11,02OCT11,1234567,LFPG,1135,KBOS,1920,A343,N,,,
AF,332,,AFR,332,03OCT11,29OCT11,1234567,LFPG,1135,KBOS,1900,B744,N,,,
AF,337,,AFR,337,27MAR11,08APR11,57,KBOS,2125,LFPG,0400,A343,N,,,
AF,337,,AFR,337,28MAR11,09APR11,12346,KBOS,2125,LFPG,0400,B744,N,,,
AF,337,,AFR,337,10APR11,12MAY11,123467,KBOS,2125,LFPG,0400,B744,N,,,
AF,337,,AFR,337,15APR11,06MAY11,5,KBOS,2125,LFPG,0400,A343,N,,,
AF,337,,AFR,337,13MAY11,05JUN11,1234567,KBOS,2125,LFPG,0400,B744,N,,,
AF,337,,AFR,337,06JUN11,02OCT11,1234567,KBOS,2125,LFPG,0400,A343,N,,,
AF,337,,AFR,337,03OCT11,28OCT11,1234567,KBOS,2125,LFPG,0400,B744,N,,,
AF,337,,AFR,337,29OCT11,29OCT11,6,KBOS,2225,LFPG,0500,B744,N,,,
AF,341,,AFR,341,27MAR11,27MAR11,7,CYUL,0045,LFPG,0735,B744,N,,,
AF,344,,AFR,344,27MAR11,29OCT11,124567,LFPG,1140,CYUL,1900,B77W,N,,,
AF,345,,AFR,345,27MAR11,28OCT11,124567,CYUL,2120,LFPG,0355,B77W,N,,,
AF,345,,AFR,345,29OCT11,29OCT11,6,CYUL,2220,LFPG,0455,B77W,N,,,
AF,346,,AFR,346,27MAR11,21APR11,1234567,LFPG,1410,CYUL,2125,B744,N,,,
AF,346,,AFR,346,22APR11,05SEP11,1567,LFPG,1410,CYUL,2120,A388,N,,,
AF,346,,AFR,346,26APR11,07SEP11,234,LFPG,1410,CYUL,2120,A388,N,,,
AF,346,,AFR,346,08SEP11,02OCT11,14567,LFPG,1410,CYUL,2120,A388,N,,,
AF,346,,AFR,346,13SEP11,28SEP11,23,LFPG,1410,CYUL,2120,A388,N,,,
AF,346,,AFR,346,03OCT11,29OCT11,1234567,LFPG,1410,CYUL,2125,B744,N,,,
AF,347,,AFR,347,27MAR11,21APR11,1234567,CYUL,2355,LFPG,0630,B744,N,,,
AF,347,,AFR,347,22APR11,05SEP11,1567,CYUL,2355,LFPG,0630,A388,N,,,
AF,347,,AFR,347,26APR11,07SEP11,234,CYUL,2355,LFPG,0630,A388,N,,,
AF,347,,AFR,347,08SEP11,02OCT11,14567,CYUL,2355,LFPG,0630,A388,N,,,
AF,347,,AFR,347,13SEP11,28SEP11,23,CYUL,2355,LFPG,0630,A388,N,,,
AF,347,,AFR,347,03OCT11,28OCT11,1234567,CYUL,2355,LFPG,0630,B744,N,,,
AF,347,,AFR,347,29OCT11,29OCT11,6,CYUL,2355,LFPG,0630,B744,N,,,
AF,348,,AFR,348,09MAY11,06JUN11,1346,LFPG,1710,CYUL,0045,A343,N,,,
AF,348,,AFR,348,10MAY11,05JUN11,257,LFPG,1710,CYUL,0025,B744,N,,,
AF,348,,AFR,348,07JUN11,08SEP11,12467,LFPG,1710,CYUL,0045,A343,N,,,
AF,348,,AFR,348,08JUN11,07SEP11,35,LFPG,1710,CYUL,0025,B744,N,,,
AF,348,,AFR,348,09SEP11,29OCT11,12456,LFPG,1710,CYUL,0045,A343,N,,,
AF,348,,AFR,348,11SEP11,26OCT11,37,LFPG,1710,CYUL,0025,B744,N,,,
AF,349,,AFR,349,10MAY11,07JUN11,2457,CYUL,0240,LFPG,0930,A343,N,,,
AF,349,,AFR,349,11MAY11,06JUN11,136,CYUL,0240,LFPG,0930,B744,N,,,
AF,349,,AFR,349,08JUN11,09SEP11,12357,CYUL,0240,LFPG,0930,A343,N,,,
AF,349,,AFR,349,09JUN11,08SEP11,46,CYUL,0240,LFPG,0930,B744,N,,,
AF,349,,AFR,349,10SEP11,29OCT11,23567,CYUL,0240,LFPG,0930,A343,N,,,
